employee_id,age,gender,department,job_role,education,years_experience,monthly_salary,training_hours,attendance_percent,projects_completed,overtime_hours,satisfaction_score,work_life_balance,manager_rating,last_promotion_years,remote_days_per_month,skill_score,performance_score,performance_label,attrition_risk
EMP0189,46,Male,Finance,Accountant,Postgraduate,20,117870,29.0,78.5,6,22,3.0,5,3.2,6,9,73,70.4,Average Performer,7.5
EMP0190,53,Female,Finance,Finance Manager,Graduate,29,130157,31.0,91.7,9,18,5.0,7,3.8,2,4,87,92.1,High Performer,10.9
EMP0191,32,Male,Support,Customer Support,Diploma,11,85948,21.0,87.3,6,19,6.0,7,4.3,4,5,66,76.6,High Performer,8.4
EMP0192,24,Female,Engineering,Team Lead,Postgraduate,0,85921,37.0,93.5,6,7,6.0,6,3.5,0,4,68,76.8,High Performer,5.0
EMP0193,30,Female,Sales,Business Associate,MBA,7,99750,43.0,81.2,6,16,7.0,7,2.9,3,7,82,71.8,Average Performer,5.0
EMP0194,38,Male,Support,Service Associate,Graduate,17,80264,35.0,89.7,2,15,5.0,7,2.6,3,4,81,67.9,Average Performer,5.4
EMP0195,46,Female,Operations,Operations Associate,Graduate,20,117502,30.0,84.2,8,16,7.0,9,3.0,2,7,79,79.3,High Performer,5.0
EMP0196,39,Female,Sales,Business Associate,Diploma,17,91934,41.0,93.6,6,11,3.0,5,3.8,4,3,90,72.6,Average Performer,5.0
EMP0197,48,Female,Marketing,SEO Analyst,Postgraduate,27,132015,7.0,77.9,10,10,,6,3.6,4,6,98,87.3,High Performer,5.0
EMP0198,23,Male,Marketing,Marketing Manager,Postgraduate,0,69569,40.0,100.0,7,0,9.0,6,3.6,0,8,60,90.5,High Performer,5.0
EMP0199,25,Female,Operations,Operations Manager,Postgraduate,1,75772,30.0,87.5,8,9,6.0,4,4.0,6,8,86,73.8,Average Performer,5.0
EMP0200,34,Male,Sales,Business Associate,Postgraduate,7,62548,18.0,81.7,8,32,9.0,3,4.5,4,0,68,77.9,High Performer,10.5
EMP0201,55,Male,HR,Recruiter,Postgraduate,31,135720,28.0,95.3,13,25,8.0,8,4.0,3,6,83,92.0,High Performer,5.8
EMP0202,43,Female,Sales,Business Associate,MBA,20,124041,46.0,88.6,10,11,9.0,7,2.7,3,12,77,97.9,High Performer,5.0
EMP0203,51,Other,Sales,Sales Executive,Graduate,28,136281,30.0,92.7,10,14,8.0,5,3.5,2,0,73,98.0,High Performer,5.4
EMP0204,40,Male,Sales,Sales Executive,MBA,16,99758,49.0,92.1,9,1,8.0,6,4.1,1,6,81,98.0,High Performer,5.0
EMP0205,28,Male,Marketing,SEO Analyst,Diploma,7,89321,25.0,82.9,9,0,,6,3.4,3,8,62,90.0,High Performer,5.0
EMP0206,30,Male,Sales,Sales Executive,Graduate,7,88108,19.0,92.9,9,20,8.0,7,3.4,1,0,76,80.7,High Performer,7.4
EMP0207,37,Female,Sales,Sales Executive,Graduate,15,103208,58.0,83.9,8,6,,6,4.4,6,7,72,98.0,High Performer,5.0
EMP0208,48,Female,HR,HR Executive,Graduate,25,149513,17.0,98.7,9,21,4.0,9,4.1,2,8,73,75.6,High Performer,7.1
EMP0209,53,Male,HR,HR Manager,Postgraduate,33,132083,38.0,88.4,11,8,5.0,8,3.5,6,6,76,98.0,High Performer,5.6
EMP0210,51,Male,Operations,Operations Associate,Postgraduate,24,117942,18.0,88.4,12,16,4.0,4,4.7,2,3,79,78.2,High Performer,9.4
EMP0211,57,Male,Engineering,QA Engineer,Postgraduate,35,172738,42.0,93.7,12,11,10.0,5,3.5,3,7,83,98.0,High Performer,5.0
EMP0212,27,Female,HR,HR Executive,Postgraduate,1,62142,39.0,93.2,7,0,4.0,10,2.8,4,3,69,70.3,Average Performer,5.0
EMP0213,55,Male,Marketing,Content Strategist,Postgraduate,33,152629,65.0,98.1,12,13,3.0,4,4.4,1,3,85,95.2,High Performer,5.0
EMP0214,55,Female,Engineering,Team Lead,Postgraduate,33,163768,31.0,88.9,12,12,6.0,7,4.0,2,6,78,96.2,High Performer,6.3
EMP0215,27,Male,Engineering,Software Engineer,Postgraduate,4,96221,44.0,89.4,10,16,8.0,7,3.7,1,8,98,91.1,High Performer,5.3
EMP0216,42,Male,Finance,Accountant,Postgraduate,22,119311,,85.5,5,19,10.0,6,2.3,4,3,96,83.4,High Performer,5.0
EMP0217,46,Male,Sales,Business Associate,Postgraduate,20,110262,18.0,92.4,4,10,8.0,7,3.9,2,10,91,90.8,High Performer,5.4
EMP0218,37,Female,Marketing,Content Strategist,Postgraduate,17,114053,47.0,84.4,6,18,6.0,3,3.8,0,2,94,91.4,High Performer,5.0
EMP0219,22,Female,HR,HR Executive,Graduate,1,79084,29.0,94.3,2,12,4.0,5,4.1,2,4,59,60.3,Average Performer,6.1
EMP0220,56,Female,Support,Support Lead,Graduate,32,128813,38.0,91.6,10,9,6.0,8,3.0,2,6,98,95.5,High Performer,5.8
EMP0221,35,Male,Operations,Operations Associate,Graduate,11,97750,36.0,91.4,4,5,10.0,6,3.0,5,7,81,87.4,High Performer,5.0
EMP0222,50,Female,Finance,Accountant,Postgraduate,26,157205,35.0,76.0,9,38,8.0,5,3.9,1,0,79,81.3,High Performer,7.6
EMP0223,53,Male,Engineering,Team Lead,Graduate,27,151069,19.0,99.9,5,4,7.0,9,3.7,4,6,71,90.4,High Performer,5.0
EMP0224,37,Female,Engineering,Data Analyst,Graduate,14,113834,18.0,91.8,6,26,7.0,8,3.0,3,2,71,70.2,Average Performer,6.9
EMP0225,30,Female,Finance,Financial Analyst,Graduate,10,75818,17.0,100.0,5,16,8.0,7,2.4,2,0,98,72.4,Average Performer,5.0
EMP0226,31,Female,Marketing,Content Strategist,MBA,9,81791,18.0,76.6,6,11,5.0,7,3.8,3,4,60,71.2,Average Performer,5.0
EMP0227,25,Female,HR,HR Manager,Graduate,3,52824,43.0,92.1,9,17,7.0,8,3.8,3,11,71,79.0,High Performer,5.0
EMP0228,51,Male,Sales,Account Manager,Graduate,25,100859,33.0,89.8,7,35,6.0,6,3.5,0,2,94,74.1,Average Performer,9.5
EMP0229,52,Female,Operations,Operations Associate,Diploma,31,127850,22.0,83.7,9,4,4.0,7,3.7,6,3,90,90.1,High Performer,5.0
EMP0230,57,Female,HR,HR Executive,Graduate,35,141209,17.0,85.2,9,3,7.0,8,2.9,3,1,85,92.1,High Performer,5.0
EMP0231,25,Female,Engineering,Data Analyst,MBA,0,78038,44.0,91.6,11,26,6.0,6,3.8,1,10,72,79.0,High Performer,10.1
EMP0232,43,Female,Operations,Operations Manager,Postgraduate,16,111610,30.0,90.0,8,17,4.0,4,2.9,1,3,85,72.0,Average Performer,7.3
EMP0233,27,Male,Support,Service Associate,Postgraduate,7,69439,60.0,89.9,5,12,7.0,6,3.5,0,2,70,78.7,High Performer,5.0
EMP0234,23,Female,Engineering,QA Engineer,Postgraduate,0,79789,27.0,93.4,6,21,8.0,7,3.4,3,10,60,69.0,Average Performer,6.9
EMP0235,52,Female,Sales,Business Associate,Postgraduate,30,134364,32.0,89.0,14,3,5.0,2,3.2,2,3,98,98.0,High Performer,5.0
EMP0236,28,Male,Support,Service Associate,Graduate,3,36905,28.0,94.5,12,14,5.0,4,3.9,0,8,79,81.2,High Performer,5.2
EMP0237,53,Female,Engineering,Software Engineer,Graduate,28,154309,5.0,97.7,13,14,8.0,7,3.1,3,2,77,98.0,High Performer,6.6
EMP0238,25,Female,Finance,Financial Analyst,Postgraduate,4,68000,38.0,94.5,6,23,6.0,6,2.8,4,2,74,68.9,Average Performer,5.9
EMP0239,48,Female,Engineering,Data Analyst,Graduate,25,135746,75.0,91.7,8,26,3.0,6,4.9,2,0,78,95.1,High Performer,10.5
EMP0240,32,Male,Sales,Account Manager,Graduate,11,105558,,92.7,4,2,7.0,4,3.3,3,1,62,82.2,High Performer,5.0
EMP0241,50,Male,Operations,Process Analyst,Diploma,30,126045,21.0,86.9,11,17,3.0,5,4.3,3,0,98,87.2,High Performer,8.0
EMP0242,54,Other,Engineering,Team Lead,Graduate,27,154538,43.0,93.5,7,25,5.0,7,2.4,0,7,74,67.3,Average Performer,9.8
EMP0243,34,Male,Support,Customer Support,Graduate,9,85965,29.0,90.2,8,18,6.0,6,4.5,5,7,94,79.1,High Performer,9.9
EMP0244,23,Female,Finance,Financial Analyst,Graduate,0,75025,38.0,100.0,4,22,9.0,7,2.8,5,10,75,74.8,Average Performer,7.2
EMP0245,51,Male,Finance,Accountant,Graduate,24,119817,21.0,85.5,10,13,7.0,7,3.1,5,4,77,90.1,High Performer,5.0
EMP0246,40,Male,Support,Customer Support,Postgraduate,18,113133,29.0,91.8,11,9,8.0,5,3.2,1,7,92,94.3,High Performer,5.0
EMP0247,28,Male,Finance,Financial Analyst,Graduate,5,91694,31.0,87.7,4,26,2.0,8,3.2,2,12,62,47.7,Needs Improvement,9.8
EMP0248,30,Female,Finance,Finance Manager,Graduate,5,97876,34.0,92.7,6,8,10.0,6,3.2,4,3,63,86.5,High Performer,5.0
EMP0249,35,Female,Engineering,Data Analyst,Postgraduate,10,100454,34.0,91.5,7,13,8.0,5,2.8,8,3,75,73.5,Average Performer,5.2
EMP0250,32,Male,Engineering,Software Engineer,Graduate,12,111820,12.0,100.0,4,27,8.0,7,2.9,3,4,75,69.9,Average Performer,5.0
EMP0251,35,Female,HR,HR Manager,Postgraduate,12,77274,6.0,92.4,9,12,4.0,6,2.5,1,2,85,68.8,Average Performer,5.0
EMP0252,45,Female,Support,Service Associate,Graduate,24,102843,7.0,95.8,10,12,6.0,8,2.4,1,1,98,89.3,High Performer,5.0
EMP0253,44,Male,HR,HR Manager,Graduate,18,106750,39.0,85.8,10,10,,7,2.4,5,6,94,80.7,High Performer,5.0
EMP0254,25,Male,Operations,Operations Manager,Graduate,0,47831,18.0,89.7,4,7,9.0,6,4.4,2,6,67,70.7,Average Performer,5.2
EMP0255,37,Female,Sales,Business Associate,MBA,11,104331,37.0,92.2,11,24,8.0,4,3.0,1,8,76,75.8,High Performer,7.0
EMP0256,40,Male,HR,HR Executive,Graduate,16,102535,56.0,95.1,7,21,4.0,5,3.7,0,5,65,75.5,High Performer,5.8
EMP0257,22,Male,Marketing,SEO Analyst,Graduate,0,62037,17.0,92.4,7,36,5.0,6,3.1,3,7,67,59.0,Average Performer,10.6
EMP0258,40,Female,Finance,Finance Manager,MBA,18,144120,24.0,91.8,6,30,8.0,5,3.9,3,3,87,82.3,High Performer,9.5
EMP0259,54,Female,Finance,Accountant,MBA,34,175325,21.0,92.6,10,29,5.0,5,2.8,3,0,82,69.9,Average Performer,10.4
EMP0260,48,Female,Marketing,Content Strategist,MBA,26,139563,25.0,99.6,11,4,5.0,7,3.3,2,11,74,94.2,High Performer,5.0
EMP0261,44,Male,Support,Support Lead,Graduate,17,101924,21.0,91.9,8,14,8.0,4,3.3,3,3,95,91.4,High Performer,5.2
EMP0262,41,Male,Engineering,Team Lead,Graduate,20,114025,37.0,83.4,10,23,,3,2.8,4,6,47,82.3,High Performer,7.9
EMP0263,42,Male,Engineering,Team Lead,Postgraduate,19,143872,53.0,92.2,10,21,4.0,7,3.0,3,5,85,84.2,High Performer,5.0
EMP0264,47,Male,Engineering,Software Engineer,MBA,27,147851,32.0,99.9,10,17,8.0,7,2.9,0,4,93,97.1,High Performer,7.1
EMP0265,39,Other,HR,HR Executive,MBA,18,121019,13.0,87.2,10,27,7.0,6,4.0,4,4,82,85.6,High Performer,12.5
EMP0266,24,Female,Finance,Accountant,Graduate,0,68611,36.0,83.7,9,3,6.0,6,4.9,2,3,61,93.5,High Performer,5.0
EMP0267,48,Female,Support,Service Associate,Graduate,22,105809,44.0,100.0,10,9,8.0,5,2.8,0,0,70,88.3,High Performer,5.0
EMP0268,29,Male,Sales,Account Manager,Diploma,6,69734,52.0,86.3,9,13,6.0,5,3.5,1,6,68,76.1,High Performer,7.0
EMP0269,45,Female,Marketing,SEO Analyst,Graduate,23,123345,26.0,84.3,5,10,8.0,5,5.0,4,11,91,98.0,High Performer,5.0
EMP0270,34,Male,Operations,Process Analyst,Postgraduate,13,94318,37.0,97.9,8,21,5.0,4,4.6,3,3,68,74.9,Average Performer,6.2
EMP0271,48,Female,Operations,Operations Manager,Postgraduate,28,133516,37.0,85.5,9,17,8.0,6,4.3,3,9,78,85.8,High Performer,6.0
EMP0272,35,Female,Marketing,Content Strategist,Graduate,10,80319,40.0,92.6,6,23,5.0,5,4.6,4,4,77,76.6,High Performer,5.0
EMP0273,53,Female,Engineering,Software Engineer,Graduate,30,146141,21.0,91.9,9,12,6.0,10,1.9,2,5,76,90.1,High Performer,6.4
EMP0274,44,Male,Marketing,Content Strategist,Graduate,24,124059,31.0,91.5,11,2,5.0,3,4.1,3,8,65,98.0,High Performer,5.0
EMP0275,41,Female,Finance,Financial Analyst,Postgraduate,15,141789,37.0,99.6,11,17,5.0,8,2.5,5,6,45,73.2,Average Performer,8.1
EMP0276,46,Female,Sales,Sales Executive,Postgraduate,21,113642,34.0,87.9,12,6,7.0,6,2.4,0,6,98,98.0,High Performer,5.0
EMP0277,38,Female,Engineering,Software Engineer,Diploma,18,124202,44.0,87.3,7,14,7.0,6,4.2,2,0,98,92.0,High Performer,5.0
EMP0278,53,Female,Operations,Process Analyst,MBA,28,129522,36.0,75.9,14,12,8.0,4,3.2,1,11,77,98.0,High Performer,5.0
EMP0279,45,Male,Operations,Operations Manager,Graduate,20,86632,20.0,85.1,4,7,3.0,5,4.3,3,6,67,64.1,Average Performer,5.0
EMP0280,22,Female,Engineering,QA Engineer,Graduate,0,66149,34.0,88.1,5,32,3.0,6,4.3,0,3,61,54.3,Needs Improvement,8.2
EMP0281,27,Male,Sales,Account Manager,Graduate,6,66206,30.0,100.0,7,3,7.0,4,,1,4,82,87.1,High Performer,5.0
EMP0282,40,Female,Engineering,Data Analyst,MBA,15,109159,39.0,87.9,8,28,6.0,8,3.9,0,1,66,72.2,Average Performer,9.1
EMP0283,43,Male,HR,Recruiter,Diploma,16,98847,34.0,91.1,13,25,8.0,5,3.1,2,2,83,89.9,High Performer,5.5
EMP0284,35,Male,Engineering,Data Analyst,Graduate,8,98374,45.0,88.0,9,15,4.0,4,,5,7,90,87.8,High Performer,7.9
EMP0285,26,Male,Finance,Finance Manager,Graduate,2,78081,13.0,94.2,3,17,6.0,6,3.0,2,13,85,67.5,Average Performer,6.1
EMP0286,36,Male,Sales,Account Manager,Graduate,14,75136,47.0,100.0,8,0,8.0,5,3.0,4,7,70,93.0,High Performer,5.0
EMP0287,55,Male,HR,HR Manager,Graduate,29,113537,45.0,73.6,9,8,,7,4.3,1,8,87,89.9,High Performer,7.1
EMP0288,52,Male,HR,HR Executive,Graduate,31,129565,43.0,80.6,10,8,5.0,7,4.3,2,9,87,92.1,High Performer,5.0
EMP0289,41,Female,HR,HR Executive,Graduate,15,75681,39.0,85.1,9,21,4.0,4,4.7,3,4,65,72.3,Average Performer,5.6
EMP0290,42,Female,Finance,Accountant,Diploma,20,107479,28.0,74.3,8,12,8.0,3,4.3,4,11,79,94.4,High Performer,5.0
EMP0291,32,Female,HR,HR Executive,Diploma,5,60608,38.0,79.2,1,26,8.0,5,3.5,4,7,72,68.6,Average Performer,6.6
EMP0292,22,Male,Engineering,Team Lead,Postgraduate,0,75874,34.0,83.7,8,5,6.0,6,,0,9,59,84.7,High Performer,5.0
EMP0293,57,Male,Support,Customer Support,Graduate,32,134985,34.0,95.1,9,5,5.0,6,3.3,4,11,75,88.3,High Performer,5.0
EMP0294,49,Female,Support,Service Associate,Graduate,22,104985,40.0,88.5,11,34,5.0,5,2.9,5,10,79,72.5,Average Performer,9.9
EMP0295,50,Female,Engineering,Team Lead,Graduate,30,147180,34.0,94.8,14,19,8.0,6,3.0,4,6,68,97.8,High Performer,6.0
EMP0296,41,Male,Engineering,Team Lead,MBA,21,130661,34.0,84.4,9,14,4.0,5,3.3,3,7,73,82.8,High Performer,5.7
EMP0297,23,Male,Sales,Sales Executive,MBA,0,81023,24.0,90.0,2,28,6.0,6,4.4,4,2,60,60.5,Average Performer,8.1
EMP0298,28,Female,Support,Customer Support,Graduate,5,64621,23.0,85.8,2,4,8.0,10,4.0,2,4,59,84.0,High Performer,5.0
EMP0299,41,Female,Engineering,QA Engineer,Postgraduate,21,126541,33.0,100.0,6,16,8.0,6,3.6,1,6,86,94.2,High Performer,6.3
EMP0300,39,Male,Sales,Business Associate,Postgraduate,19,102299,31.0,91.5,7,5,4.0,3,3.3,0,1,74,72.9,Average Performer,5.0
EMP0301,45,Female,Marketing,Marketing Manager,Graduate,23,113107,48.0,95.3,10,22,3.0,9,3.8,4,7,82,81.0,High Performer,9.5
EMP0302,32,Female,Support,Support Lead,Postgraduate,5,87037,26.0,88.6,4,17,5.0,6,4.1,1,9,80,72.5,Average Performer,6.8
EMP0303,23,Male,Support,Support Lead,Postgraduate,0,48835,51.0,100.0,9,21,4.0,7,2.6,0,6,74,71.9,Average Performer,9.0
EMP0304,29,Other,Support,Service Associate,Graduate,5,38459,42.0,85.5,8,23,5.0,7,3.0,0,6,65,62.5,Average Performer,12.1
EMP0305,27,Female,Sales,Sales Executive,MBA,1,69052,22.0,85.4,8,29,7.0,5,3.7,7,6,86,64.1,Average Performer,9.6
EMP0306,26,Male,Support,Customer Support,Diploma,1,64359,48.0,99.1,10,15,6.0,9,4.0,1,1,74,81.3,High Performer,5.5
EMP0307,51,Female,Operations,Operations Associate,Diploma,31,145836,15.0,86.1,8,14,9.0,10,2.9,3,8,91,94.8,High Performer,5.0
EMP0308,45,Female,Engineering,QA Engineer,Graduate,20,135708,37.0,96.8,9,15,7.0,3,3.4,1,1,97,96.9,High Performer,5.2
EMP0309,38,Female,Engineering,Software Engineer,Diploma,14,109942,44.0,78.4,7,10,6.0,5,3.6,6,4,79,93.3,High Performer,5.0
EMP0310,34,Female,Operations,Process Analyst,Diploma,12,93685,33.0,86.3,7,22,6.0,6,3.3,4,10,67,67.3,Average Performer,8.4
EMP0311,25,Female,Sales,Business Associate,Graduate,4,68789,53.0,81.5,2,6,7.0,7,3.8,5,0,84,77.9,High Performer,5.0
EMP0312,35,Male,Operations,Operations Manager,Graduate,9,63476,34.0,83.5,8,20,9.0,5,4.1,5,0,80,88.9,High Performer,5.7
EMP0313,34,Male,Engineering,Data Analyst,Postgraduate,10,108586,26.0,85.9,7,23,10.0,4,3.7,1,10,62,77.6,High Performer,5.3
EMP0314,24,Male,Operations,Operations Associate,Graduate,3,51541,42.0,89.7,9,7,4.0,6,4.4,3,5,59,86.1,High Performer,5.0
EMP0315,32,Female,Finance,Financial Analyst,Postgraduate,8,100790,40.0,89.0,4,12,5.0,7,4.1,5,7,83,75.2,High Performer,5.0
EMP0316,37,Male,Finance,Accountant,Graduate,13,91920,41.0,95.3,5,20,6.0,6,4.5,4,9,98,82.0,High Performer,5.1
EMP0317,45,Male,Sales,Business Associate,Graduate,24,131405,38.0,86.4,11,20,5.0,5,1.9,1,3,83,75.3,High Performer,6.3
EMP0318,28,Male,Finance,Accountant,MBA,5,82648,15.0,86.3,5,10,7.0,9,4.1,1,8,78,73.7,Average Performer,5.5
EMP0319,48,Male,Engineering,Team Lead,Graduate,23,132050,25.0,93.7,9,15,7.0,4,2.9,0,8,67,86.2,High Performer,6.0
EMP0320,57,Female,Engineering,Data Analyst,Postgraduate,33,178071,45.0,92.0,8,20,6.0,7,3.1,2,6,90,95.1,High Performer,5.8
EMP0321,48,Male,Operations,Operations Associate,Graduate,28,114112,24.0,93.1,13,3,6.0,7,4.1,2,0,92,98.0,High Performer,5.0
EMP0322,33,Female,Finance,Financial Analyst,Postgraduate,6,89649,39.0,99.0,4,9,7.0,5,4.0,2,2,72,84.0,High Performer,5.4
EMP0323,32,Male,Support,Customer Support,MBA,11,80966,30.0,100.0,11,19,7.0,6,2.6,2,6,77,83.2,High Performer,8.2
EMP0324,55,Male,Engineering,Data Analyst,Diploma,28,140310,32.0,89.4,10,18,10.0,7,4.0,0,4,98,98.0,High Performer,5.0
EMP0325,34,Male,HR,HR Manager,Graduate,8,89255,33.0,75.9,8,24,7.0,7,3.2,0,8,93,79.9,High Performer,5.0
EMP0326,40,Male,Operations,Process Analyst,Postgraduate,19,112220,16.0,94.7,10,9,6.0,3,3.3,3,6,83,86.5,High Performer,5.0
EMP0327,43,Male,HR,HR Manager,Postgraduate,18,95238,40.0,86.7,9,14,6.0,6,3.1,0,7,81,88.3,High Performer,5.0
EMP0328,33,Male,Sales,Account Manager,Postgraduate,10,66192,52.0,98.2,9,5,10.0,6,3.3,5,8,98,98.0,High Performer,5.0
EMP0329,53,Female,Engineering,Team Lead,Postgraduate,26,140243,22.0,91.4,12,17,7.0,5,4.1,0,7,98,93.1,High Performer,5.3
EMP0330,37,Male,Sales,Business Associate,MBA,17,106327,43.0,90.1,16,15,7.0,3,3.1,5,0,52,89.6,High Performer,8.2
EMP0331,32,Female,Marketing,Content Strategist,Graduate,8,63619,47.0,94.6,10,19,8.0,7,4.1,0,0,63,86.8,High Performer,6.8
EMP0332,56,Male,Operations,Operations Associate,Diploma,35,150362,23.0,88.9,12,0,10.0,7,3.1,6,4,90,98.0,High Performer,5.0
EMP0333,44,Female,Support,Service Associate,Graduate,23,120824,64.0,91.9,9,15,9.0,5,3.3,0,1,75,97.1,High Performer,8.1
EMP0334,33,Male,Sales,Business Associate,Graduate,9,98019,34.0,87.3,10,5,7.0,10,3.6,1,7,67,81.1,High Performer,5.0
EMP0335,27,Female,Finance,Finance Manager,Graduate,4,73251,21.0,100.0,7,19,8.0,8,,3,4,75,79.6,High Performer,5.3
EMP0336,52,Male,Sales,Account Manager,Graduate,32,148091,45.0,100.0,9,9,5.0,7,3.6,1,5,63,98.0,High Performer,5.0
EMP0337,34,Male,Operations,Process Analyst,Postgraduate,8,85756,51.0,94.4,9,27,8.0,6,4.2,4,8,55,75.9,High Performer,7.8
EMP0338,25,Male,Finance,Financial Analyst,Postgraduate,2,89390,48.0,83.8,7,8,4.0,6,4.4,3,14,71,90.0,High Performer,5.0
EMP0339,26,Male,Marketing,Content Strategist,Graduate,1,82874,47.0,96.8,5,13,6.0,8,4.6,3,13,79,79.7,High Performer,6.7
EMP0340,31,Other,HR,HR Executive,Graduate,11,85808,31.0,93.5,11,17,7.0,6,3.3,2,6,95,86.6,High Performer,5.9
EMP0341,41,Female,HR,HR Executive,Graduate,21,117392,32.0,93.2,9,14,7.0,7,3.3,2,12,98,85.9,High Performer,5.0
EMP0342,43,Female,Sales,Account Manager,Diploma,22,119064,40.0,85.8,8,13,4.0,4,2.7,4,6,88,70.4,Average Performer,5.0
EMP0343,39,Male,Operations,Process Analyst,Graduate,19,96836,46.0,100.0,3,20,3.0,7,3.4,3,2,88,63.9,Average Performer,10.5
EMP0344,53,Female,HR,HR Executive,Diploma,26,145891,48.0,85.2,9,15,9.0,7,3.6,2,5,98,98.0,High Performer,5.0
EMP0345,46,Female,Sales,Sales Executive,Graduate,25,122020,42.0,75.1,11,12,6.0,7,3.2,0,9,85,89.1,High Performer,5.0
EMP0346,49,Male,Engineering,Data Analyst,Graduate,28,128406,36.0,89.7,12,19,1.0,7,2.8,0,5,89,72.0,Average Performer,9.9
EMP0347,22,Male,Engineering,Data Analyst,Postgraduate,0,56865,46.0,89.0,5,0,6.0,7,2.6,3,6,60,80.5,High Performer,5.0
EMP0348,43,Female,Marketing,Marketing Manager,Graduate,21,113879,26.0,88.2,10,6,8.0,10,3.5,0,0,89,97.7,High Performer,5.0
EMP0349,23,Female,HR,HR Manager,MBA,3,51135,,89.4,8,9,5.0,6,4.3,2,2,71,84.5,High Performer,7.6
EMP0350,45,Female,Engineering,Data Analyst,Postgraduate,21,115940,20.0,82.0,11,16,7.0,2,4.9,1,14,63,84.8,High Performer,5.0
EMP0351,30,Female,Operations,Operations Manager,Graduate,7,86037,55.0,85.9,7,2,6.0,5,3.8,4,9,62,89.2,High Performer,5.0
EMP0352,28,Female,Operations,Process Analyst,Graduate,7,81188,36.0,88.4,13,25,5.0,6,3.4,3,3,77,82.9,High Performer,6.1
EMP0353,23,Female,Operations,Process Analyst,Postgraduate,2,76331,30.0,88.3,2,21,7.0,8,3.4,2,6,79,57.4,Average Performer,8.4
EMP0354,29,Male,Finance,Financial Analyst,Graduate,2,92372,54.0,92.1,11,13,8.0,6,3.1,1,0,84,88.5,High Performer,5.0
EMP0355,46,Male,Engineering,Software Engineer,Graduate,23,128246,21.0,95.9,10,8,7.0,5,,3,8,49,94.1,High Performer,7.5
EMP0356,43,Male,Engineering,Team Lead,Graduate,19,143033,36.0,85.4,8,0,5.0,6,4.1,0,4,91,88.5,High Performer,5.0
EMP0357,38,Male,Support,Service Associate,Postgraduate,15,71583,31.0,87.3,7,21,7.0,5,3.6,5,2,78,75.5,High Performer,7.0
EMP0358,54,Female,Operations,Operations Associate,Graduate,32,132543,26.0,97.3,13,15,8.0,6,3.5,1,9,78,98.0,High Performer,5.0
EMP0359,28,Female,Operations,Process Analyst,Graduate,7,88225,26.0,89.2,7,21,6.0,9,3.4,2,5,56,61.2,Average Performer,6.2
EMP0360,25,Female,Engineering,Team Lead,Postgraduate,5,106114,49.0,84.9,5,30,7.0,6,4.0,4,3,73,76.9,High Performer,7.2
EMP0361,46,Male,Operations,Process Analyst,Postgraduate,26,121135,26.0,90.3,7,17,9.0,6,3.4,3,0,90,98.0,High Performer,5.0
EMP0362,53,Male,Finance,Accountant,MBA,31,121632,40.0,100.0,12,3,7.0,4,4.4,1,6,76,98.0,High Performer,5.0
EMP0363,46,Male,Sales,Sales Executive,Postgraduate,19,110843,45.0,86.6,12,7,6.0,4,4.2,6,0,75,98.0,High Performer,5.0
EMP0364,42,Male,Finance,Finance Manager,Graduate,22,131603,55.0,100.0,9,9,,8,2.5,2,6,75,91.5,High Performer,9.4
EMP0365,45,Male,Sales,Business Associate,Graduate,23,121476,31.0,79.3,5,0,7.0,4,4.4,3,5,71,93.7,High Performer,5.0
EMP0366,53,Female,Finance,Finance Manager,MBA,29,150197,,92.3,8,32,5.0,9,3.4,4,8,98,77.3,High Performer,13.0
EMP0367,32,Female,Support,Customer Support,Postgraduate,10,70842,54.0,84.0,5,28,8.0,10,3.2,3,3,75,63.3,Average Performer,9.9
EMP0368,46,Female,Finance,Financial Analyst,MBA,24,138732,19.0,93.1,14,27,4.0,5,3.8,2,0,87,84.6,High Performer,13.5
EMP0369,34,Female,HR,Recruiter,Diploma,14,106004,22.0,90.1,4,12,8.0,6,3.3,0,3,97,83.3,High Performer,5.0
EMP0370,34,Male,Support,Customer Support,Postgraduate,8,68290,56.0,89.4,7,19,2.0,7,3.5,5,9,59,68.3,Average Performer,7.8
EMP0371,36,Female,Engineering,Software Engineer,Graduate,12,107467,44.0,96.6,9,26,8.0,7,4.4,2,6,95,98.0,High Performer,8.0
EMP0372,28,Female,HR,HR Executive,Graduate,2,59137,37.0,89.9,4,15,7.0,6,4.1,5,9,65,75.6,High Performer,5.6
EMP0373,50,Male,Finance,Financial Analyst,Graduate,27,146033,36.0,91.0,7,0,5.0,6,2.0,2,5,81,85.0,High Performer,5.0
EMP0374,44,Male,Support,Customer Support,Postgraduate,19,97160,24.0,85.4,11,10,5.0,6,3.6,0,5,89,88.2,High Performer,9.0
EMP0375,52,Male,Engineering,Team Lead,Graduate,32,166684,27.0,90.6,9,17,5.0,5,3.8,2,0,69,81.9,High Performer,5.0
EMP0376,50,Male,Support,Service Associate,Postgraduate,23,120362,41.0,91.3,12,22,7.0,8,1.9,2,4,95,94.6,High Performer,5.0
EMP0377,38,Male,Engineering,Data Analyst,Graduate,11,83798,41.0,94.1,10,10,6.0,6,4.7,0,2,74,88.3,High Performer,5.0
